,container,unix_time,cpu_util,cpu_sys,cpu_user,mem_util,mem_used,tcp_currestab,traffic_pkg_in,traffic_pkg_out,traffic_byte_in,traffic_byte_out,y
0,container1,1649970000000.0,42.4,19.67,12.76,56.52,47.49,7827.0,166908.0,151376.0,1641545.0,1700246.0,0
1,container1,1649970000000.0,16.07,7.46,4.83,53.7,45.12,7782.0,167527.0,151947.0,1657227.0,1716540.0,1
2,container1,1649970000000.0,41.98,19.48,12.63,54.88,46.11,7781.0,168301.0,,,1724093.0,1
3,container1,1649970000000.0,,26.83,17.4,56.0,47.06,7785.0,,153119.0,1661735.0,,1
4,container1,1649970000000.0,41.65,19.33,12.53,47.69,40.07,7787.0,169621.0,153877.0,1679187.0,1739358.0,0
5,container1,1649970000000.0,47.97,,,74.63,,7740.0,169446.0,153716.0,1682610.0,1742915.0,0
6,container1,1649970000000.0,55.1,,16.58,58.64,49.27,8070.0,170437.0,154629.0,1683837.0,1744190.0,0
7,container1,1649970000000.0,64.05,29.72,19.27,45.99,38.64,7738.0,171227.0,155358.0,1689497.0,1750071.0,0
8,container1,1649970000000.0,35.77,,10.76,,39.45,,172322.0,,1701297.0,1762332.0,0
9,container1,1649970000000.0,34.83,16.16,10.48,30.77,25.85,7818.0,172609.0,,1711004.0,1772418.0,1
10,container1,1649970000000.0,47.25,21.92,14.22,51.34,43.14,7721.0,172760.0,156771.0,1704128.0,1765274.0,0
11,container1,1649970000000.0,41.04,19.04,12.35,45.88,38.55,7838.0,174350.0,158236.0,,,1
12,container1,1649970000000.0,60.36,28.0,18.16,51.56,43.32,7912.0,174912.0,158754.0,1731739.0,1793963.0,0
13,container1,1649970000000.0,,28.42,18.43,51.03,42.88,7842.0,175341.0,159150.0,1730565.0,1792744.0,0
14,container1,1649970000000.0,,29.85,19.35,,37.45,7576.0,175803.0,159575.0,1738929.0,1801434.0,2
15,container1,1649970000000.0,33.35,15.47,10.03,52.52,44.13,7779.0,,160611.0,1749322.0,1812233.0,0
16,container1,1649970000000.0,56.97,26.43,17.14,45.48,38.21,7719.0,177597.0,161229.0,1757178.0,1820396.0,0
17,container1,1649970000000.0,49.47,22.95,,49.08,,7889.0,178319.0,161895.0,1760731.0,1824088.0,0
18,container1,1649970000000.0,41.72,19.36,12.55,52.71,44.29,7966.0,,162259.0,1773400.0,1837252.0,1
19,container1,1649980000000.0,51.06,23.69,15.36,,31.59,7864.0,179160.0,162670.0,1774895.0,1838806.0,2
20,container1,1649980000000.0,56.38,26.16,,63.12,53.04,,180380.0,163794.0,1789961.0,1854460.0,0
21,container1,1649980000000.0,49.42,22.93,14.87,51.74,43.48,,181084.0,164443.0,1794334.0,1859004.0,0
22,container1,1649980000000.0,49.5,22.97,14.89,69.85,,7857.0,181792.0,165096.0,,1858807.0,0
23,container1,1649980000000.0,29.85,13.85,8.98,59.64,50.12,7854.0,182080.0,165361.0,1804122.0,1869174.0,0
24,container1,1649980000000.0,49.31,22.88,14.84,33.96,28.54,7844.0,183269.0,166457.0,1811665.0,,0
25,container1,1649980000000.0,62.46,28.98,18.79,58.0,48.73,7801.0,184248.0,167360.0,1822018.0,1887770.0,0
26,container1,1649980000000.0,31.17,14.46,9.38,42.35,35.58,7747.0,184182.0,167299.0,1819096.0,1884734.0,2
27,container1,1649980000000.0,35.07,16.27,10.55,38.51,32.35,7823.0,184777.0,167847.0,1818098.0,1883697.0,1
28,container1,1649980000000.0,47.55,22.06,14.31,40.09,33.68,7830.0,185841.0,168828.0,1844549.0,1911181.0,0
29,container1,1649980000000.0,39.29,18.23,11.82,63.07,52.99,7813.0,186398.0,169342.0,1844640.0,1911276.0,0
30,container1,1649980000000.0,61.75,28.65,18.58,62.84,52.8,7868.0,37568.0,32156.0,738575.0,761996.0,32
31,container2,1649980000000.0,38.93,20.78,11.35,43.71,39.05,8606.0,169653.0,164504.0,1768717.0,1814720.0,0
32,container2,1649980000000.0,37.24,19.88,10.86,30.98,27.67,8844.0,168760.0,163627.0,1752109.0,1797442.0,0
33,container2,1649980000000.0,27.03,14.43,7.88,37.03,33.08,8491.0,168814.0,163680.0,1755479.0,1800948.0,0
34,container2,1649980000000.0,46.6,24.87,13.59,22.54,20.13,8830.0,168716.0,163584.0,1747672.0,1792827.0,0
35,container2,1649980000000.0,41.27,22.03,12.04,43.9,39.21,8719.0,167097.0,161994.0,1743097.0,1788067.0,0
36,container2,1649980000000.0,28.34,15.13,8.27,42.32,37.8,8712.0,166165.0,161078.0,1736154.0,1780845.0,0
37,container2,1649980000000.0,49.23,26.28,14.36,44.84,40.05,8681.0,166037.0,160953.0,1722995.0,1767155.0,0
38,container2,1649980000000.0,43.31,23.11,12.63,28.13,25.12,8571.0,165661.0,160583.0,1720071.0,1764113.0,1
39,container2,1649980000000.0,39.78,21.23,11.6,36.47,32.57,8678.0,164813.0,159751.0,1714770.0,1758599.0,0
40,container2,1649980000000.0,22.41,11.96,6.54,47.26,42.22,8523.0,164278.0,159225.0,1705980.0,1749455.0,0
41,container2,1649980000000.0,42.61,22.74,12.43,41.97,37.49,8686.0,163305.0,158269.0,1693775.0,1736758.0,1
42,container2,1649980000000.0,43.94,23.45,12.81,60.15,53.73,8579.0,161922.0,156911.0,1687148.0,1729864.0,0
43,container2,1649980000000.0,49.44,26.39,14.42,21.86,19.53,8571.0,162081.0,157067.0,1681725.0,1724222.0,0
44,container2,1649980000000.0,28.29,15.1,8.25,28.39,25.36,8682.0,160870.0,155878.0,1683583.0,1726155.0,0
45,container2,1649980000000.0,38.29,20.44,11.17,47.02,42.0,8760.0,160303.0,155321.0,1664679.0,1706490.0,0
46,container2,1649980000000.0,34.15,18.23,9.96,41.46,37.04,8420.0,159825.0,154851.0,1661488.0,1703170.0,0
47,container2,1649980000000.0,29.42,15.7,8.58,43.27,38.65,8643.0,158738.0,153784.0,1650784.0,1692035.0,0
48,container2,1649980000000.0,28.29,15.1,8.25,44.22,39.5,8628.0,157429.0,152498.0,1653052.0,1694394.0,1
49,container2,1649980000000.0,29.87,15.94,8.71,32.27,28.83,8745.0,156924.0,152002.0,1641247.0,1682113.0,0
50,container2,1649980000000.0,32.0,17.08,9.33,28.4,25.37,8581.0,157138.0,152212.0,1633396.0,1673946.0,0
51,container2,1649980000000.0,40.05,21.37,11.68,17.05,15.23,8675.0,156141.0,151233.0,1630946.0,1671397.0,1
52,container2,1649980000000.0,45.42,24.24,13.25,45.58,40.72,8569.0,155971.0,151066.0,1623741.0,1663902.0,0
53,container2,1649980000000.0,33.76,18.02,9.85,48.66,43.46,8603.0,155214.0,150323.0,1606750.0,1646226.0,2
54,container2,1649980000000.0,36.21,19.33,10.56,37.68,33.66,8840.0,153627.0,148764.0,1604330.0,1643709.0,0
55,container2,1649980000000.0,45.32,24.19,13.22,55.57,49.64,8892.0,153569.0,148707.0,1597987.0,1637110.0,1
56,container2,1649980000000.0,49.62,26.48,14.47,25.06,22.38,8757.0,152256.0,147417.0,1590201.0,1629010.0,1
57,container2,1649980000000.0,56.7,30.26,16.54,44.0,39.3,8819.0,151813.0,146982.0,1577047.0,1615326.0,1
58,container2,1649980000000.0,51.82,27.66,15.11,40.05,35.78,8744.0,151139.0,146320.0,1575874.0,1614106.0,0
59,container2,1649980000000.0,58.59,31.27,17.09,30.16,26.94,8567.0,150010.0,145211.0,1567266.0,1605151.0,0
60,container2,1649980000000.0,41.65,22.23,12.15,32.99,29.47,8669.0,149688.0,144895.0,1568748.0,1606693.0,0
61,container2,1649980000000.0,31.22,16.66,9.1,39.44,35.23,8831.0,447024.0,436932.0,6214868.0,6440025.0,27
62,container3,1649980000000.0,24.58,12.75,7.27,29.79,26.24,12802.0,198203.16,189971.0,1917620.41,1853525.0,2
63,container3,1649980000000.0,24.58,12.75,7.27,29.78,26.23,12963.0,198414.92,190169.0,1915425.64,1851356.0,0
64,container3,1649980000000.0,24.58,12.75,7.27,28.53,25.13,12683.0,198124.48,189897.0,1918998.23,1854886.0,0
65,container3,1649980000000.0,24.58,12.75,7.27,25.65,22.6,13079.0,198182.16,189951.0,1918961.43,1854849.0,0
66,container3,1649980000000.0,24.58,12.75,7.27,28.73,25.3,13145.0,198045.88,189824.0,1918559.11,1854452.0,0
67,container3,1649980000000.0,24.58,12.75,7.27,34.61,30.48,12893.0,198672.16,190409.0,1917816.09,1853718.0,0
68,container3,1649980000000.0,24.58,12.75,7.27,25.66,22.6,12740.0,198097.59,189872.0,1913498.43,1849452.0,0
69,container3,1649980000000.0,24.58,12.75,7.27,25.32,22.3,12996.0,198431.59,190184.0,1919558.66,1855439.0,0
70,container3,1649980000000.0,24.58,12.75,7.27,31.04,27.34,12936.0,197896.06,189684.0,1914757.35,1850696.0,0
71,container3,1649980000000.0,24.58,12.75,7.27,25.74,22.67,12924.0,198534.56,190280.0,1912908.59,1848869.0,1
72,container3,1649980000000.0,24.58,12.75,7.27,41.16,36.26,12718.0,198541.34,190287.0,1916798.94,1852713.0,0
73,container3,1649980000000.0,24.58,12.75,7.27,38.93,34.29,12931.0,198661.09,190398.0,1919365.99,1855249.0,0
74,container3,1649980000000.0,24.58,12.75,7.27,36.19,31.88,12829.0,198286.5,190049.0,1917274.35,1853183.0,0
75,container3,1649980000000.0,24.58,12.75,7.27,35.22,31.02,12835.0,198747.39,190479.0,1921737.52,1857592.0,0
76,container3,1649980000000.0,24.58,12.75,7.27,32.17,28.33,12728.0,198689.14,190425.0,1920472.98,1856343.0,0
77,container3,1649980000000.0,24.58,12.75,7.27,38.64,34.03,12752.0,198101.71,189876.0,1912160.62,1848130.0,0
78,container3,1649980000000.0,24.58,12.75,7.27,39.54,34.83,12952.0,199207.08,190908.0,1916797.83,1852712.0,1
79,container3,1649980000000.0,24.58,12.75,7.27,29.74,26.19,12797.0,198706.23,190441.0,1924819.71,1860637.0,2
80,container3,1649980000000.0,24.58,12.75,7.27,36.17,31.86,13031.0,198559.34,190303.0,1919633.45,1855513.0,1
81,container3,1649980000000.0,24.58,12.75,7.27,33.82,29.79,12938.0,198143.27,189915.0,1918434.41,1854329.0,0
82,container3,1649980000000.0,24.58,12.75,7.27,25.5,22.46,12925.0,198134.15,189906.0,1919419.11,1855302.0,2
83,container3,1649980000000.0,24.58,12.75,7.27,43.29,38.13,12769.0,199040.78,190753.0,1924062.32,1859889.0,0
84,container3,1649980000000.0,24.58,12.75,7.27,37.21,32.78,12845.0,199100.64,190809.0,1916359.71,1852279.0,0
85,container3,1649980000000.0,24.58,12.75,7.27,35.27,31.06,12830.0,198016.18,189796.0,1922941.55,1858782.0,0
86,container3,1649980000000.0,24.58,12.75,7.27,46.31,40.79,12867.0,198512.61,190260.0,1916870.65,1852784.0,0
87,container3,1649980000000.0,24.58,12.75,7.27,50.66,44.63,12711.0,198314.31,190075.0,1917076.36,1852987.0,0
88,container3,1649980000000.0,24.58,12.75,7.27,48.56,42.77,12978.0,197958.54,189742.0,1920696.55,1856564.0,0
89,container3,1649980000000.0,24.58,12.75,7.27,52.47,46.22,12839.0,197684.44,189487.0,1914648.35,1850588.0,0
90,container3,1649980000000.0,24.58,12.75,7.27,47.16,41.54,12992.0,197914.81,189702.0,1916922.62,1852835.0,0
91,container3,1649980000000.0,24.58,12.75,7.27,44.8,39.46,12725.0,198242.32,190007.0,1923134.93,1858973.0,0
92,container3,1649980000000.0,0.05,0.02,0.01,2.05,1.8,3861.0,198305.63,190067.0,1914420.84,1850363.0,37
93,container4,1649980000000.0,35.9,17.91,10.67,46.08,40.65,9069.0,153120.5,151389.0,1545431.06,1375011.0,0
94,container4,1649980000000.0,49.53,24.7,14.73,48.04,42.38,8906.0,153616.97,151883.0,1538790.71,1368905.0,0
95,container4,1649980000000.0,45.29,22.59,13.47,55.95,49.36,9121.0,153794.12,152059.0,1543811.86,1373522.0,1
